"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"             A1218","             A1219",  0.70246706738E+004,  0.00000000000E+000, -0.22500000000E+001, -0.47791176408E-010, -0.50292371395E-015, -0.18532808192E-015, -0.31759563203E-015
"             A1219","             A1220",  0.10000000000E+005,  0.00000000000E+000, -0.22500000000E+001,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"TIME [sec]  0.12620000E+09"
"             A11 0","             A11 1",  0.30002474023E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29981035940E+004, -0.46733941556E-009, -0.46733941556E-009,  0.00000000000E+000
"             A11 1","             A11 2",  0.60634010403E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29921980461E+004, -0.21594281175E-008, -0.21594281175E-008,  0.00000000000E+000
"             A11 2","             A11 3",  0.91920359460E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29818616897E+004, -0.53661369949E-008, -0.53661369949E-008,  0.00000000000E+000
"             A11 3","             A11 4",  0.12383235403E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29665601036E+004, -0.10366477010E-007, -0.10366477010E-007,  0.00000000000E+000
"             A11 4","             A11 5",  0.15642871972E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29457219389E+004, -0.17434328060E-007, -0.86888745317E-003,  0.86887001885E-003
"             A11 5","             A11 6",  0.18972519769E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29467809482E+004, -0.23089311782E-005, -0.11155982823E-002,  0.11132893511E-002
"             A11 6","             A11 7",  0.22372121415E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29483545899E+004, -0.60365608256E-005, -0.11007894532E-002,  0.10947528924E-002
"             A11 7","             A11 8",  0.25841784869E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29497446756E+004, -0.98114055483E-005, -0.10857163702E-002,  0.10759049646E-002
"             A11 8","             A11 9",  0.29381352604E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29512061735E+004, -0.14472472918E-004, -0.10693526705E-002,  0.10548801975E-002
"             A11 9","             A1110",  0.33000978172E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29530667768E+004, -0.21127176321E-004, -0.10497737812E-002,  0.10286466049E-002
"             A1110","             A1111",  0.36695613513E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29556034203E+004, -0.30924372301E-004, -0.40413590051E-003,  0.37321152821E-003
"             A1111","             A1112",  0.40465205195E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29460923721E+004, -0.33997621728E-004, -0.15465731343E-007, -0.33982155997E-004
"             A1112","             A1113",  0.44314755725E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29333722417E+004, -0.37282727729E-004, -0.14096684828E-007, -0.37268631044E-004
"             A1113","             A1114",  0.48249313096E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29172458325E+004, -0.40680061899E-004, -0.15299808429E-007, -0.40664762091E-004
"             A1114","             A1115",  0.52263933291E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28976292797E+004, -0.44094603836E-004, -0.16993266306E-007, -0.44077610570E-004
"             A1115","             A1116",  0.56363406814E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28745105044E+004, -0.47440261615E-004, -0.18932018715E-007, -0.47421329596E-004
"             A1116","             A1117",  0.60548045781E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28479208442E+004, -0.50642467688E-004, -0.21076780129E-007, -0.50621390907E-004
"             A1117","             A1118",  0.64817538041E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28179170593E+004, -0.53639559304E-004, -0.23438480598E-007, -0.53616120823E-004
"             A1118","             A1119",  0.69182042191E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27845678822E+004, -0.56383428238E-004, -0.26042274561E-007, -0.56357385964E-004
"             A1119","             A1120",  0.73636606238E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27479476535E+004, -0.58839239800E-004, -0.28914948193E-007, -0.58810324852E-004
"             A1120","             A1121",  0.78186078158E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27081324607E+004, -0.60984749296E-004, -0.32079407423E-007, -0.60952669888E-004
"             A1121","             A1122",  0.82830612480E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26651972722E+004, -0.62809157293E-004, -0.35552089852E-007, -0.62773605203E-004
"             A1122","             A1123",  0.87570105197E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26192163427E+004, -0.64311532265E-004, -0.39342056917E-007, -0.64272190208E-004
"             A1123","             A1124",  0.92409558845E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25702614277E+004, -0.65499171950E-004, -0.43451462867E-007, -0.65455720488E-004
"             A1124","             A1125",  0.97354021424E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25184056658E+004, -0.66385566287E-004, -0.47875953963E-007, -0.66337690333E-004
"             A1125","             A1126",  0.10241334327E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24637296504E+004, -0.66988436245E-004, -0.52605540115E-007, -0.66935830705E-004
"             A1126","             A1127",  0.10757298481E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24063121919E+004, -0.67328045905E-004, -0.57627151960E-007, -0.67270418753E-004
"             A1127","             A1128",  0.11282243374E+002,  0.00000000000E+000, -0.22500000000E+001, -0.23462444419E+004, -0.67425349640E-004, -0.62924924216E-007, -0.67362424716E-004
"             A1128","             A1129",  0.11817189521E+002,  0.00000000000E+000, -0.22500000000E+001, -0.22836283567E+004, -0.67300619144E-004, -0.68481940139E-007, -0.67232137204E-004
"             A1129","             A1130",  0.12367089859E+002,  0.00000000000E+000, -0.22500000000E+001, -0.22185684600E+004, -0.66972266617E-004, -0.74282387953E-007, -0.66897984229E-004
"             A1130","             A1131",  0.12927085447E+002,  0.00000000000E+000, -0.22500000000E+001, -0.21511885209E+004, -0.66456080350E-004, -0.80310988275E-007, -0.66375769361E-004
"             A1131","             A1132",  0.13496983297E+002,  0.00000000000E+000, -0.22500000000E+001, -0.20816296706E+004, -0.65764839196E-004, -0.86553832026E-007, -0.65678285364E-004
"             A1132","             A1133",  0.14081934428E+002,  0.00000000000E+000, -0.22500000000E+001, -0.20100422872E+004, -0.64908165999E-004, -0.92999444303E-007, -0.64815166555E-004
"             A1133","             A1134",  0.14676876920E+002,  0.00000000000E+000, -0.22500000000E+001, -0.19366005411E+004, -0.63892920886E-004, -0.99637284156E-007, -0.63793283602E-004
"             A1134","             A1135",  0.15286773774E+002,  0.00000000000E+000, -0.22500000000E+001, -0.18614908745E+004, -0.62723582458E-004, -0.10645842448E-006, -0.62617124034E-004
"             A1135","             A1136",  0.15911724028E+002,  0.00000000000E+000, -0.22500000000E+001, -0.17849219726E+004, -0.61403080956E-004, -0.11345393094E-006, -0.61289627025E-004
"             A1136","             A1137",  0.16546675610E+002,  0.00000000000E+000, -0.22500000000E+001, -0.17071164121E+004, -0.59933477061E-004, -0.12061482121E-006, -0.59812862240E-004
"             A1137","             A1138",  0.17191618669E+002,  0.00000000000E+000, -0.22500000000E+001, -0.16283189061E+004, -0.58316942731E-004, -0.12793037407E-006, -0.58189012357E-004
"             A1138","             A1139",  0.17851516213E+002,  0.00000000000E+000, -0.22500000000E+001, -0.15487902516E+004, -0.56556446349E-004, -0.13538779770E-006, -0.56421058551E-004
"             A1139","             A1140",  0.18526462278E+002,  0.00000000000E+000, -0.22500000000E+001, -0.14688040738E+004, -0.54656369354E-004, -0.14297174922E-006, -0.54513397605E-004
"             A1140","             A1141",  0.19216357882E+002,  0.00000000000E+000, -0.22500000000E+001, -0.13886502966E+004, -0.52623134764E-004, -0.15066331987E-006, -0.52472471444E-004
"             A1141","             A1142",  0.19921307074E+002,  0.00000000000E+000, -0.22500000000E+001, -0.13086285093E+004, -0.50465447522E-004, -0.15844017717E-006, -0.50307007345E-004
"             A1142","             A1143",  0.20641205821E+002,  0.00000000000E+000, -0.22500000000E+001, -0.12290480400E+004, -0.48194520970E-004, -0.16627622628E-006, -0.48028244744E-004
"             A1143","             A1144",  0.21376153162E+002,  0.00000000000E+000, -0.22500000000E+001, -0.11502212263E+004, -0.45823972383E-004, -0.17414213625E-006, -0.45649830247E-004
"             A1144","             A1145",  0.22121097258E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10724660309E+004, -0.43369845642E-004, -0.18200507059E-006, -0.43187840571E-004
"             A1145","             A1146",  0.22885944016E+002,  0.00000000000E+000, -0.22500000000E+001, -0.99609710533E+003, -0.40850182763E-004, -0.18982972659E-006, -0.40660353036E-004
"             A1146","             A1147",  0.23670891516E+002,  0.00000000000E+000, -0.22500000000E+001, -0.92142259886E+003, -0.38284668281E-004, -0.19757891289E-006, -0.38087089368E-004
"             A1147","             A1148",  0.24465840778E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84874181988E+003, -0.35694247040E-004, -0.20521411587E-006, -0.35489032924E-004
"             A1148","             A1149",  0.25280682862E+002,  0.00000000000E+000, -0.22500000000E+001, -0.77834124943E+003, -0.33100639086E-004, -0.21269629146E-006, -0.32887942794E-004
"             A1149","             A1150",  0.26115630832E+002,  0.00000000000E+000, -0.22500000000E+001, -0.71048778815E+003, -0.30525725832E-004, -0.21998701186E-006, -0.30305738820E-004
"             A1150","             A1151",  0.26960580658E+002,  0.00000000000E+000, -0.22500000000E+001, -0.64542554946E+003, -0.27991037502E-004, -0.22704925469E-006, -0.27763988247E-004
"             A1151","             A1152",  0.27825423417E+002,  0.00000000000E+000, -0.22500000000E+001, -0.58337432723E+003, -0.25517314093E-004, -0.23384802076E-006, -0.25283466073E-004
"             A1152","             A1153",  0.28710372151E+002,  0.00000000000E+000, -0.22500000000E+001, -0.52452317681E+003, -0.23123888806E-004, -0.24035147602E-006, -0.22883537330E-004
"             A1153","             A1154",  0.29615213896E+002,  0.00000000000E+000, -0.22500000000E+001, -0.46902961701E+003, -0.20828317056E-004, -0.24653144991E-006, -0.20581785606E-004
"             A1154","             A1155",  0.30540161757E+002,  0.00000000000E+000, -0.22500000000E+001, -0.41701493659E+003, -0.18645891614E-004, -0.25236432574E-006, -0.18393527289E-004
"             A1155","             A1156",  0.31480059673E+002,  0.00000000000E+000, -0.22500000000E+001, -0.36856375259E+003, -0.16589383705E-004, -0.25783139541E-006, -0.16331552310E-004
"             A1156","             A1157",  0.32439954726E+002,  0.00000000000E+000, -0.22500000000E+001, -0.32372405841E+003, -0.14668872160E-004, -0.26291908579E-006, -0.14405953074E-004
"             A1157","             A1158",  0.33424799960E+002,  0.00000000000E+000, -0.22500000000E+001, -0.28250468581E+003, -0.12891528959E-004, -0.26761940153E-006, -0.12623909557E-004
"             A1158","             A1159",  0.34429746437E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24487694835E+003, -0.11261649889E-004, -0.27192981470E-006, -0.10989720074E-004
"             A1159","             A1160",  0.35449643195E+002,  0.00000000000E+000, -0.22500000000E+001, -0.21077506354E+003, -0.97806975429E-005, -0.27585322261E-006, -0.95048443203E-005
"             A1160","             A1161",  0.36494490248E+002,  0.00000000000E+000, -0.22500000000E+001, -0.18010242783E+003, -0.84476525545E-005, -0.27939716203E-006, -0.81682553924E-005
"             A1161","             A1162",  0.37564381677E+002,  0.00000000000E+000, -0.22500000000E+001, -0.15272843233E+003, -0.72589968899E-005, -0.28257407464E-006, -0.69764228153E-005
"             A1162","             A1163",  0.38654280563E+002,  0.00000000000E+000, -0.22500000000E+001, -0.12849547323E+003, -0.62091684842E-005, -0.28540034997E-006, -0.59237681342E-005
"             A1163","             A1164",  0.39764176889E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10722310822E+003, -0.52909078281E-005, -0.28789568793E-006, -0.50030121401E-005
"             A1164","             A1165",  0.40899018766E+002,  0.00000000000E+000, -0.22500000000E+001, -0.88711113386E+002, -0.44955595465E-005, -0.29008258618E-006, -0.42054769603E-005
"             A1165","             A1166",  0.42058915245E+002,  0.00000000000E+000, -0.22500000000E+001, -0.72747009188E+002, -0.38135572470E-005, -0.29198530672E-006, -0.35215719403E-005
"             A1166","             A1167",  0.43243757365E+002,  0.00000000000E+000, -0.22500000000E+001, -0.59109840388E+002, -0.32347311531E-005, -0.29362930112E-006, -0.29411018520E-005
"             A1167","             A1168",  0.44453654207E+002,  0.00000000000E+000, -0.22500000000E+001, -0.47573433522E+002, -0.27485706884E-005, -0.29504072952E-006, -0.24535299589E-005
"             A1168","             A1169",  0.45688501744E+002,  0.00000000000E+000, -0.22500000000E+001, -0.37911947500E+002, -0.23445611857E-005, -0.29624572916E-006, -0.20483154565E-005
"             A1169","             A1170",  0.46948394090E+002,  0.00000000000E+000, -0.22500000000E+001, -0.29905442371E+002, -0.20124934633E-005, -0.29726969865E-006, -0.17152237647E-005
"             A1170","             A1171",  0.48233237341E+002,  0.00000000000E+000, -0.22500000000E+001, -0.23342121742E+002, -0.17426092211E-005, -0.29813701332E-006, -0.14444722078E-005
"             A1171","             A1172",  0.49548083507E+002,  0.00000000000E+000, -0.22500000000E+001, -0.18021802703E+002, -0.15257771042E-005, -0.29887061549E-006, -0.12269064887E-005
"             A1172","             A1173",  0.50892927639E+002,  0.00000000000E+000, -0.22500000000E+001, -0.13759363507E+002, -0.13536471198E-005, -0.29949159063E-006, -0.10541555292E-005
"             A1173","             A1174",  0.52262826780E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10385295635E+002, -0.12186729541E-005, -0.30001914872E-006, -0.91865380536E-006
"             A1174","             A1175",  0.53657667058E+002,  0.00000000000E+000, -0.22500000000E+001, -0.77476789289E+001, -0.11141807812E-005, -0.30047038915E-006, -0.81371039204E-006
"             A1175","             A1176",  0.55087458541E+002,  0.00000000000E+000, -0.22500000000E+001, -0.57122324342E+001, -0.10343533309E-005, -0.30086033866E-006, -0.73349299222E-006
"             A1176","             A1177",  0.56547352324E+002,  0.00000000000E+000, -0.22500000000E+001, -0.41623723483E+001, -0.97420977967E-006, -0.30120195414E-006, -0.67300782553E-006
"             A1177","             A1178",  0.58032202353E+002,  0.00000000000E+000, -0.22500000000E+001, -0.29984406029E+001, -0.92955131833E-006, -0.30150624697E-006, -0.62804507136E-006
"             A1178","             A1179",  0.59551988775E+002,  0.00000000000E+000, -0.22500000000E+001, -0.21367575257E+001, -0.89689998881E-006, -0.30178239540E-006, -0.59511759342E-006
"             A1179","             A1180",  0.61106835692E+002,  0.00000000000E+000, -0.22500000000E+001, -0.15081727552E+001, -0.87341983720E-006, -0.30203793873E-006, -0.57138189847E-006
"             A1180","             A1181",  0.62691676139E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10565758613E+001, -0.85683913810E-006, -0.30227894972E-006, -0.55456018837E-006
"             A1181","             A1182",  0.64306525165E+002,  0.00000000000E+000, -0.22500000000E+001, -0.73719541324E+000, -0.84536767469E-006, -0.30251024116E-006, -0.54285743353E-006
"             A1182","             A1183",  0.65956315840E+002,  0.00000000000E+000, -0.22500000000E+001, -0.51496641308E+000, -0.83761989376E-006, -0.30273554038E-006, -0.53488435338E-006
"             A1183","             A1184",  0.67646105299E+002,  0.00000000000E+000, -0.22500000000E+001, -0.36290980267E+000, -0.83254180002E-006, -0.30295768596E-006, -0.52958411407E-006
"             A1184","             A1185",  0.69370950624E+002,  0.00000000000E+000, -0.22500000000E+001, -0.26064969362E+000, -0.82934593387E-006, -0.30317879946E-006, -0.52616713441E-006
"             A1185","             A1186",  0.71125794844E+002,  0.00000000000E+000, -0.22500000000E+001, -0.19309798088E+000, -0.82745505391E-006, -0.30340041087E-006, -0.52405464304E-006
"             A1186","             A1187",  0.72920534054E+002,  0.00000000000E+000, -0.22500000000E+001, -0.14929054727E+000, -0.82645369643E-006, -0.30362360423E-006, -0.52283009219E-006
"             A1187","             A1188",  0.74755381334E+002,  0.00000000000E+000, -0.22500000000E+001, -0.12141983158E+000, -0.82604861454E-006, -0.30384911533E-006, -0.52219949921E-006
"             A1188","             A1189",  0.76625170773E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10403751542E+000, -0.82603680606E-006, -0.30407741127E-006, -0.52195939479E-006
"             A1189","             A1190",  0.78534964472E+002,  0.00000000000E+000, -0.22500000000E+001, -0.93419863544E-001, -0.82628054095E-006, -0.30430877405E-006, -0.52197176690E-006
"             A1190","             A1191",  0.80484752543E+002,  0.00000000000E+000, -0.22500000000E+001, -0.87076374431E-001, -0.82668823464E-006, -0.30454333461E-006, -0.52214490003E-006
"             A1191","             A1192",  0.82479503001E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83376509294E-001, -0.82720019927E-006, -0.30478112254E-006, -0.52241907673E-006
"             A1192","             A1193",  0.84514327073E+002,  0.00000000000E+000, -0.22500000000E+001, -0.81276829396E-001, -0.82777830486E-006, -0.30502209314E-006, -0.52275621172E-006
"             A1193","             A1194",  0.86589091689E+002,  0.00000000000E+000, -0.22500000000E+001, -0.80124374779E-001, -0.82839864356E-006, -0.30526614653E-006, -0.52313249702E-006
"             A1194","             A1195",  0.88708863011E+002,  0.00000000000E+000, -0.22500000000E+001, -0.79520138469E-001, -0.82904646244E-006, -0.30551314054E-006, -0.52353332189E-006
"             A1195","             A1196",  0.90873587493E+002,  0.00000000000E+000, -0.22500000000E+001, -0.79225922851E-001, -0.82971275280E-006, -0.30576289956E-006, -0.52394985323E-006
"             A1196","             A1197",  0.93083418696E+002,  0.00000000000E+000, -0.22500000000E+001, -0.79102943732E-001, -0.83039202396E-006, -0.30601522315E-006, -0.52437680081E-006
"             A1197","             A1198",  0.95343100636E+002,  0.00000000000E+000, -0.22500000000E+001, -0.79072377673E-001, -0.83108085229E-006, -0.30626988092E-006, -0.52481097137E-006
"             A1198","             A1199",  0.97647943652E+002,  0.00000000000E+000, -0.22500000000E+001, -0.79090448076E-001, -0.83177703464E-006, -0.30652663090E-006, -0.52525040374E-006
"             A1199","             A12 0",  0.10000556220E+003,  0.00000000000E+000, -0.22500000000E+001, -0.79133449395E-001, -0.83247900415E-006, -0.30678520263E-006, -0.52569380152E-006
"             A12 0","             A12 1",  0.10338774516E+003,  0.00000000000E+000, -0.22500000000E+001, -0.79213937647E-001, -0.83346493784E-006, -0.30714811804E-006, -0.52631681981E-006
"             A12 1","             A12 2",  0.10818762742E+003,  0.00000000000E+000, -0.22500000000E+001, -0.79339223138E-001, -0.83483527352E-006, -0.30765237988E-006, -0.52718289364E-006
"             A12 2","             A12 3",  0.11501670482E+003,  0.00000000000E+000, -0.22500000000E+001, -0.79516108343E-001, -0.83670788827E-006, -0.30834143342E-006, -0.52836645485E-006
"             A12 3","             A12 4",  0.12483987403E+003,  0.00000000000E+000, -0.22500000000E+001, -0.79752239315E-001, -0.83919399438E-006, -0.30925623264E-006, -0.52993776174E-006
"             A12 4","             A12 5",  0.13889812218E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80049968369E-001, -0.84232700498E-006, -0.31040900806E-006, -0.53191799692E-006
"             A12 5","             A12 6",  0.15894452474E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80388643965E-001, -0.84589079643E-006, -0.31172001579E-006, -0.53417078064E-006
"             A12 6","             A12 7",  0.18762529518E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80690697195E-001, -0.84906930075E-006, -0.31288845004E-006, -0.53618085071E-006
"             A12 7","             A12 8",  0.22855941709E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80766034623E-001, -0.84986195994E-006, -0.31317706126E-006, -0.53668489868E-006
"             A12 8","             A12 9",  0.28706835340E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80246394896E-001, -0.84439421556E-006, -0.31115811936E-006, -0.53323609620E-006
"             A12 9","             A1210",  0.37076528576E+003,  0.00000000000E+000, -0.22500000000E+001, -0.78551540638E-001, -0.82656024147E-006, -0.30458184177E-006, -0.52197839970E-006
"             A1210","             A1211",  0.49037188731E+003,  0.00000000000E+000, -0.22500000000E+001, -0.74901756590E-001, -0.78815559498E-006, -0.29042536594E-006, -0.49773022904E-006
"             A1211","             A1212",  0.66126058656E+003,  0.00000000000E+000, -0.22500000000E+001, -0.68240205756E-001, -0.71805920754E-006, -0.26459139623E-006, -0.45346781132E-006
"             A1212","             A1213",  0.90549706755E+003,  0.00000000000E+000, -0.22500000000E+001, -0.57086696238E-001, -0.60069634631E-006, -0.22134187356E-006, -0.37935447274E-006
"             A1213","             A1214",  0.12545376506E+004,  0.00000000000E+000, -0.22500000000E+001, -0.40305919688E-001, -0.42412018415E-006, -0.15627572948E-006, -0.26784445467E-006
"             A1214","             A1215",  0.17534635338E+004,  0.00000000000E+000, -0.22500000000E+001, -0.20240568958E-001, -0.21298203392E-006, -0.78476783816E-007, -0.13450525011E-006
"             A1215","             A1216",  0.24664941350E+004,  0.00000000000E+000, -0.22500000000E+001, -0.55989028218E-002, -0.58914554568E-007, -0.21707938420E-007, -0.37206616147E-007
"             A1216","             A1217",  0.34856246991E+004,  0.00000000000E+000, -0.22500000000E+001, -0.70114102849E-003, -0.73777481263E-008, -0.27184364084E-008, -0.46593117179E-008
"             A1217","             A1218",  0.49426116857E+004,  0.00000000000E+000, -0.22500000000E+001, -0.36962802262E-004, -0.38898337562E-009, -0.14332642829E-009, -0.24565694732E-009
"             A1218","             A1219",  0.70246706738E+004,  0.00000000000E+000, -0.22500000000E+001, -0.81565928404E-006, -0.85866364678E-011, -0.31638780411E-011, -0.54227584267E-011
